0x2227de445Dbfd90712C48bCD74D492CccA1Cb242 1889 DC 10.1532% 
0xb9b2355417d03F3716b6427E6407864F0b634744 1004 DC 5.3964% 
0x69F8403dd13059038b7F76ac29BA0E83b3302983 844 DC 4.5364% 
0x1C45cdcd73aBc21Df7816f97deb0360955F54e33 842 DC 4.5257% 
0x474997dFb5168C8f7782f9FDc964F34410dF9E43 730 DC 3.9237% 
0x47a84bF3AD81C89a7F2AB0fa2Ad269C34E939443 507 DC 2.7251% 
0x5f45f8296BE3f38119D0c56ad339f6BF66154b9b 472 DC 2.5370% 
0xa56356C918F15a5D9478Ac337600EE451F90B75f 454 DC 2.4402% 
0x6c8ade549C4295352b98bc5bA63B179568e33f0f 398 DC 2.1392% 
0xcB532e73B16044c3fc7a88c1cA185192b0fc46AC 385 DC 2.0693% 
0x930c11078f73517865101BEe9351D1E20Fc17850 279 DC 1.4996% 
0xABe7B4D31CD2991B8F6f2FC5545cFeB1d14E9eC5 268 DC 1.4405% 
0x1a91489dD8f74bDe7B217C6c68185e38C6748F7f 251 DC 1.3491% 
0x96Db32c7F45EC9853d16F6F808a047956652ebA5 218 DC 1.1717% 
0x87B2fcE53456C75eAF8Ead671722660Acf546a0C 215 DC 1.1556% 
0xD9FA09F4EBD03e0B86853f0BA15a6c13fbf6A62A 201 DC 1.0804% 
0x690a26EC43b98563a7E04b231DB980eE705AF47c 184 DC 0.9890% 
0x2d2FAa215cAe308d0Aa853F822c3e5764671c3Bf 166 DC 0.8922% 
0xE8DE914248c915060e629fEC5DdF3D01ce723588 149 DC 0.8009% 
0x2A46208A3c6b50d86E8Dc093993631dFe92e6198 146 DC 0.7847% 
0x9ea57fEE5694FB74C6f134C6349e2e84A6455C1B 145 DC 0.7794% 
0xFE4938848515741628E2aDB2e1be12B507017D6D 140 DC 0.7525% 
0x6c6A427CD43E1747E4aDeddC56fbC9c8fa492D1C 133 DC 0.7149% 
0xB8162FA38Ebb9683fAAaE447752f440533aC071a 131 DC 0.7041% 
0x6cF3989e2242a56165686b03A10C75e59b85bcf2 130 DC 0.6987% 
0xB6f5498E42baa1e1fBB04cA9BDFF19817B6A6778 130 DC 0.6987% 
0xbff5FCa62293648A9803770B22362F5681fAb110 120 DC 0.6450% 
0x513009fD23D5B75e3266834ba89D2d1e79209654 120 DC 0.6450% 
0x13b3f7c5f9C0084BC50FdD621aFe1A7c5176e830 115 DC 0.6181% 
0x1d7C77328F5236E3454c4Ae6702e0f7Ec0b4ACBC 115 DC 0.6181% 
0x9e45D9080795a948299711A8326Bf57fa0cdfF2C 114 DC 0.6127% 
0x9BaDAA3aAca09370F2BCC120E8c6Bc9B0dBB2bDE 112 DC 0.6020% 
0xDBB9d557191501fd2CAdF5a9FD80845f162d20dd 106 DC 0.5697% 
0x1A518A3E674A76324058822CA5D8688cFfC5033b 104 DC 0.5590% 
0xa6603df622644ed5e57b714a2f9B7547776AD33c 100 DC 0.5375% 
0x3140b4bfAab3D1c4163473C835eB38C56457724c 100 DC 0.5375% 
0x82eee1b20D5141B2C783bCE4eBa4261Cb0adB1EA 98 DC 0.5267% 
0x7BEA68221b46351DAA4f066E81D6F0aB7AE7D4cF 95 DC 0.5106% 
0x81B55FBe66C5FFbb8468328E924AF96a84438F14 95 DC 0.5106% 
0xcf04Ca0676EbBA0EaE99B0e9C7Ca67cFC3F58e9A 94 DC 0.5052% 
